0,1,2
1.0,-1.444755,1.23589
1.0,-1.30475,1.229048
1.0,-1.229363,1.218785
1.0,-1.170131,1.136681
1.0,-1.06782,0.965632
1.0,-1.035511,0.941685
1.0,-0.597548,0.657743
1.0,-0.260101,0.466168
1.0,0.127604,0.291698
1.0,0.457871,0.1617
1.0,0.47223,0.151437
1.0,0.644543,-0.009349
1.0,0.691211,-0.088031
1.0,0.815062,-0.300133
1.0,0.888654,-0.515655
1.0,0.890449,-0.563548
1.0,0.888654,-0.796175
1.0,0.890449,-0.994592
1.0,0.888654,-1.028802
1.0,0.990965,-1.114327
1.0,1.118405,-1.220377
1.0,1.251229,-1.326428
1.0,1.384054,-1.429058
1.0,1.409183,-1.449583
1.0,-1.229363,1.229048
1.0,-1.31911,1.222206
1.0,-1.32629,1.222206
1.0,-1.383727,1.225627
1.0,-1.390907,1.225627
1.0,-1.390907,1.229048
1.0,-1.416036,1.211943
1.0,-1.380137,1.211943
1.0,-1.121668,1.259836
1.0,-0.983458,1.116155
1.0,-0.626267,0.678269
